Address,Date1,Core,Floor,PlotNo,AptType,Beds,ComDate,Filename
"8 Gas Holder Place, London, SE11 5BJ",01/05/2025,1,0,B.1-0-1,Type BB,2,01/05/2025,"R459-MBS-BZ-00-CT-X-56101 - B101 - HIU Commissioning Cert - 8 Gas Holder Place, London, SE11 5BJ.pdf"
"6 Gas Holder Place, London, SE11 5BJ",01/05/2025,1,0,B.1-0-2,Type E,1,01/05/2025,"R459-MBS-BZ-00-CT-X-56102 - B102 - HIU Commissioning Cert - 6 Gas Holder Place, London, SE11 5BJ.pdf"
"4 Gas Holder Place, London, SE11 5BJ",01/05/2025,1,0,B.1-0-3,Type F,1,01/05/2025,"R459-MBS-BZ-00-CT-X-56103 - B103 - HIU Commissioning Cert - 4 Gas Holder Place, London, SE11 5BJ.pdf"
"2 Gas Holder Place, London, SE11 5BJ",01/05/2025,1,0,B.1-0-4,Type CC,2,01/05/2025,"R459-MBS-BZ-00-CT-X-56104 - B104 - HIU Commissioning Cert - 2 Gas Holder Place, London, SE11 5BJ.pdf"
"10 Gas Holder Place, London, SE11 5BF",01/05/2025,1,0,B.1-0-5,Type A-1,1,01/05/2025,"R459-MBS-BZ-00-CT-X-56105 - B105 - HIU Commissioning Cert - Flat 1 - 10 Gas Holder Place, London, SE11 5BF.pdf"
"10 Gas Holder Place, London, SE11 5BF",01/05/2025,1,0,B.1-0-6,Type B-1,1,01/05/2025,"R459-MBS-BZ-00-CT-X-56106 - B106 - HIU Commissioning Cert - Flat 2 - 10 Gas Holder Place, London, SE11 5BF.pdf"
"10 Gas Holder Place, London, SE11 5BF",01/05/2025,1,1,B.1-1-1,Type NN-2,2,01/05/2025,"R459-MBS-BZ-01-CT-X-56111 - B111 - HIU Commissioning Cert - Flat 3 - 10 Gas Holder Place, London, SE11 5BF.pdf"
"10 Gas Holder Place, London, SE11 5BF",01/05/2025,1,1,B.1-1-2,Type I-2,1,01/05/2025,"R459-MBS-BZ-01-CT-X-56112 - B112 - HIU Commissioning Cert - Flat 4 - 10 Gas Holder Place, London, SE11 5BF.pdf"
"10 Gas Holder Place, London, SE11 5BF",01/05/2025,1,1,B.1-1-3,Type FF-1,2,01/05/2025,"R459-MBS-BZ-01-CT-X-56113 - B113 - HIU Commissioning Cert - Flat 5 - 10 Gas Holder Place, London, SE11 5BF.pdf"
"10 Gas Holder Place, London, SE11 5BF",01/05/2025,1,1,B.1-1-4,Type J-1 (WC),1,01/05/2025,"R459-MBS-BZ-01-CT-X-56114 - B114 - HIU Commissioning Cert - Flat 6 - 10 Gas Holder Place, London, SE11 5BF.pdf"
"10 Gas Holder Place, London, SE11 5BF",01/05/2025,1,1,B.1-1-5,Type K-1,1,01/05/2025,"R459-MBS-BZ-01-CT-X-56115 - B115 - HIU Commissioning Cert - Flat 7 - 10 Gas Holder Place, London, SE11 5BF.pdf"
"10 Gas Holder Place, London, SE11 5BF",01/05/2025,1,1,B.1-1-6,Type L-1,1,01/05/2025,"R459-MBS-BZ-01-CT-X-56116 - B116 - HIU Commissioning Cert - Flat 8 - 10 Gas Holder Place, London, SE11 5BF.pdf"
"10 Gas Holder Place, London, SE11 5BF",01/05/2025,1,1,B.1-1-7,Type OO-2,2,01/05/2025,"R459-MBS-BZ-01-CT-X-56117 - B117 - HIU Commissioning Cert - Flat 9 - 10 Gas Holder Place, London, SE11 5BF.pdf"
"10 Gas Holder Place, London, SE11 5BF",01/05/2025,1,1,B.1-1-8,Type M-1,1,01/05/2025,"R459-MBS-BZ-01-CT-X-56118 - B118 - HIU Commissioning Cert - Flat 10 - 10 Gas Holder Place, London, SE11 5BF.pdf"
"10 Gas Holder Place, London, SE11 5BF",01/05/2025,1,1,B.1-1-9,Type N-1,1,01/05/2025,"R459-MBS-BZ-01-CT-X-56119 - B119 - HIU Commissioning Cert - Flat 11 - 10 Gas Holder Place, London, SE11 5BF.pdf"
