Address,PlotDate,Core,FloorNo,PlotNo,AptType,Beds,Baths,InstallDate,PlotSQM,ComDate,Filename
"8 Gas Holder Place, London, SE11 5BJ",01/05/2025,1,0,B.1-0-1,Type BB,2, ,01/05/2025,74.94,01/05/2025,"R459-MBS-BZ-00-CT-X-57101 - B101 - MVHR Commissioning Cert - 8 Gas Holder Place, London, SE11 5BJ.pdf"
"6 Gas Holder Place, London, SE11 5BJ",01/05/2025,1,0,B.1-0-2,Type E,1,,01/05/2025,59.39,01/05/2025,"R459-MBS-BZ-00-CT-X-57102 - B102 - MVHR Commissioning Cert - 6 Gas Holder Place, London, SE11 5BJ.pdf"
"4 Gas Holder Place, London, SE11 5BJ",01/05/2025,1,0,B.1-0-3,Type F,1,,01/05/2025,64.01,01/05/2025,"R459-MBS-BZ-00-CT-X-57103 - B103 - MVHR Commissioning Cert - 4 Gas Holder Place, London, SE11 5BJ.pdf"
"2 Gas Holder Place, London, SE11 5BJ",01/05/2025,1,0,B.1-0-4,Type CC,2,,01/05/2025,71.53,01/05/2025,"R459-MBS-BZ-00-CT-X-57104 - B104 - MVHR Commissioning Cert - 2 Gas Holder Place, London, SE11 5BJ.pdf"
"10 Gas Holder Place, London, SE11 5BF",01/05/2025,1,0,B.1-0-5,Type A-1,1,,01/05/2025,49.20,01/05/2025,"R459-MBS-BZ-00-CT-X-57105 - B105 - MVHR Commissioning Cert - Flat 1 - 10 Gas Holder Place, London, SE11 5BF.pdf"
"10 Gas Holder Place, London, SE11 5BF",01/05/2025,1,0,B.1-0-6,Type B-1,1,,01/05/2025,40.07,01/05/2025,"R459-MBS-BZ-00-CT-X-57106 - B106 - MVHR Commissioning Cert - Flat 2 - 10 Gas Holder Place, London, SE11 5BF.pdf"
"10 Gas Holder Place, London, SE11 5BF",01/05/2025,1,1,B.1-1-1,Type NN-2,2,,01/05/2025,71.70,01/05/2025,"R459-MBS-BZ-01-CT-X-57111 - B111 - MVHR Commissioning Cert - Flat 3 - 10 Gas Holder Place, London, SE11 5BF.pdf"
"10 Gas Holder Place, London, SE11 5BF",01/05/2025,1,1,B.1-1-2,Type I-2,1,,01/05/2025,51.77,01/05/2025,"R459-MBS-BZ-01-CT-X-57112 - B112 - MVHR Commissioning Cert - Flat 4 - 10 Gas Holder Place, London, SE11 5BF.pdf"
"10 Gas Holder Place, London, SE11 5BF",01/05/2025,1,1,B.1-1-3,Type FF-1,2,,01/05/2025,68.74,01/05/2025,"R459-MBS-BZ-01-CT-X-57113 - B113 - MVHR Commissioning Cert - Flat 5 - 10 Gas Holder Place, London, SE11 5BF.pdf"
"10 Gas Holder Place, London, SE11 5BF",01/05/2025,1,1,B.1-1-4,Type J-1 (WC),1,,01/05/2025,58.62,01/05/2025,"R459-MBS-BZ-01-CT-X-57114 - B114 - MVHR Commissioning Cert - Flat 6 - 10 Gas Holder Place, London, SE11 5BF.pdf"
